case_id,time,action,band_id,side,source,family,range,current_price,flow_source,flow_grade,replenish,paid_share,root_cushion_points,runway_points,path_consumed_pct,stack_depth,stack_direct,stack_lean,zz_time,zz_range,zz_side,zz_source,zz_hold_sec,zz_hold_label,zz_failure_time,zz_failure_kind,sponsor_fail_time,sponsor_fail_range,pre_zz_tail_time,pre_zz_tail_price,pre_zz_tail_range,tail_break_time,tail_break_delay_sec,future_mfe,future_mae,future_target_time,call
es_20260827_1330_short_7748,14:12:45,CONSUMED,34,supply,demand_consumed,direct_consumption,736.25-737.25,7733.75,event_forward,replenished,1.085,0.0,15.25,4.25,77.9,6,3,3,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:12:45,0.2,10.0,2.5,14:26:35,tail_reclaim_harvest_not_add
es_20260828_1120_short_7780,11:36:16,HOLD,39,supply,demand_consumed,direct_consumption,775.75-781.75,7773.0,event_forward,replenished,1.06,0.0,7.75,33.0,17.5,4,2,2,11:23:14,7769-7774.5,demand,supply_consumed,709.0,held,11:35:03,formal_zz_fail,11:23:14,7772.5-7775.25,11:21:38,7772.5,775.75-781.75,11:37:20,64.4,53.0,2.25,11:56:40,tail_reclaim_add
es_20260828_1120_short_7780,11:36:56,HOLD,39,supply,demand_consumed,direct_consumption,775.75-781.75,7773.25,latest_test,depleted,0.904,0.0,7.75,33.25,16.9,4,2,2,11:23:14,7769-7774.5,demand,supply_consumed,709.0,held,11:35:03,formal_zz_fail,11:23:14,7772.5-7775.25,11:21:38,7772.5,775.75-781.75,11:37:20,24.4,53.25,0.5,11:56:40,tail_reclaim_reject_depleted
es_20260828_1120_short_7780,11:37:23,OWNED,50,supply,supply_lean,same_side_lean,774.75-778,7772.0,event_forward,depleted,0.779,0.0,7.75,32.0,20.0,5,2,3,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:37:23,0.1,52.0,1.25,11:56:40,tail_reclaim_reject_depleted
es_20260828_1120_short_7780,11:40:17,CONSUMED,51,supply,demand_consumed,direct_consumption,767.25-772.50,7764.0,event_forward,depleted,0.314,0.0,16.25,24.0,40.0,3,2,1,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:40:17,0.1,44.0,0.75,11:56:40,tail_reclaim_reject_depleted
es_20260828_1120_short_7780,11:40:49,OWNED,52,supply,supply_lean,same_side_lean,763.75-768.75,7760.0,event_forward,depleted,0.564,0.0,20.0,20.0,50.0,2,1,1,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:40:49,0.0,40.0,2.0,11:56:40,tail_reclaim_reject_depleted
es_20260828_1120_short_7780,11:40:59,CONSUMED,53,supply,demand_consumed,direct_consumption,762.25-762.75,7758.25,event_forward,replenished,1.115,0.0,21.75,18.25,54.4,3,2,1,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:40:59,0.1,38.25,3.75,11:56:40,tail_reclaim_add_reduced
es_20260828_1120_short_7780,11:42:33,HOLD,53,supply,demand_consumed,direct_consumption,762.25-762.75,7759.5,latest_test,replenished,1.123,0.0,24.5,19.5,51.2,3,2,1,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:42:33,0.0,39.5,2.25,11:56:40,tail_reclaim_add_reduced
es_20260828_1120_short_7780,11:44:00,HOLD,53,supply,demand_consumed,direct_consumption,762.25-762.75,7759.75,latest_test,depleted,0.959,0.0,24.5,19.75,50.6,3,2,1,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:44:00,0.3,39.75,0.75,11:56:40,tail_reclaim_reject_depleted
es_20260828_1120_short_7780,11:44:39,OWNED,54,supply,supply_lean,same_side_lean,760.25-761.75,7758.0,event_forward,depleted,0.846,0.0,24.5,18.0,55.0,4,2,2,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:44:39,0.0,38.0,1.5,11:56:40,tail_reclaim_reject_depleted
es_20260828_1120_short_7780,11:45:23,HOLD,54,supply,supply_lean,same_side_lean,760.25-761.75,7757.75,latest_test,replenished,1.041,0.0,24.5,17.75,55.6,4,2,2,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:45:23,0.0,37.75,1.25,11:56:40,tail_reclaim_add_reduced
es_20260828_1120_short_7780,11:48:05,CONSUMED,55,supply,demand_consumed,direct_consumption,756.75-758.50,7754.0,event_forward,replenished,1.374,0.0,26.25,14.0,65.0,4,2,2,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:48:05,0.2,34.0,0.75,11:56:40,tail_reclaim_mature_path_harvest
es_20260828_1120_short_7780,11:48:33,OWNED,56,supply,supply_lean,same_side_lean,754.50-758.50,7751.5,event_forward,replenished,1.209,0.0,28.5,11.5,71.2,4,2,2,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:48:33,0.3,31.5,2.5,11:56:40,tail_reclaim_mature_path_harvest
es_20260828_1120_short_7780,11:49:02,HOLD,56,supply,supply_lean,same_side_lean,754.50-758.50,7751.5,latest_test,replenished,1.188,0.0,29.0,11.5,71.2,4,2,2,11:35:15,7766.75-7772.5,demand,supply_consumed,126.0,held,11:37:21,formal_zz_fail,11:35:15,7772.5-7775,11:21:38,7772.5,775.75-781.75,11:49:02,0.1,31.5,2.5,11:56:40,tail_reclaim_mature_path_harvest
